epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,362.819,0.93367,9.90086,0.01104,0.57221,0.03846,0.03699,0.0276,0.84955,6.82735,0.00952,6.99e-06,6.99e-06,6.99e-06
2,717.385,0.91926,9.72323,0.01029,0.64967,0.03846,0.03013,0.02495,0.98649,6.62508,0.01483,1.46953e-05,1.46953e-05,1.46953e-05
3,1008,0.86596,9.44636,0.00885,0.6499,0.03846,0.0326,0.02553,0.95797,6.56134,0.01495,2.05553e-05,2.05553e-05,2.05553e-05
4,1421.81,0.80318,9.37193,0.01132,0.57292,0.03846,0.02908,0.02443,0.89934,6.39393,0.0121,2.45698e-05,2.45698e-05,2.45698e-05
5,1795.17,0.91259,8.61046,0.0091,0.64987,0.03846,0.02753,0.02243,0.84443,6.27416,0.01134,2.67391e-05,2.67391e-05,2.67391e-05
6,2151.27,0.81,7.96976,0.00925,0.64967,0.03846,0.02699,0.02294,0.83693,6.21649,0.0115,2.70629e-05,2.70629e-05,2.70629e-05
7,2375.96,0.78666,7.79514,0.00833,0.64984,0.03846,0.02723,0.02307,0.83295,6.08812,0.01182,2.55415e-05,2.55415e-05,2.55415e-05
8,2607.75,0.77296,7.83462,0.00791,0.64999,0.03846,0.02639,0.0229,0.83637,6.05759,0.01177,2.21746e-05,2.21746e-05,2.21746e-05
9,2805.75,0.79113,8.17232,0.00905,0.64948,0.03846,0.02649,0.02316,0.81117,6.03267,0.01159,1.69624e-05,1.69624e-05,1.69624e-05
10,3024.44,0.80148,7.48562,0.00708,0.57247,0.03846,0.02672,0.02331,0.83421,6.02739,0.01178,9.90483e-06,9.90483e-06,9.90483e-06
